question,ground_truth,context,q_type,source_page
根据标准，新能源汽车的‘高压系统’主要包括哪些部件？请列举至少三个。,主要包括但不限于动力电池系统和/或高压配电系统（高压继电器、熔断器、电阻器、主开关等）、电机及其控制器系统、DC/DC变换器和车载充电机等。,"系统。
注：主要包括但不限于动力电池系统和/或高压配电系统（高压继电器、熔断器、电阻器、主开关等）、电机及其控
制器系统、DC/DC变换器和车载充电机等。
[来源：GB/T 19596—2017, 3.1.2.1.11，有修改]
3.3　
专用装置　special equipment
新能源汽车与燃油（气）汽车相比所特有的装置。
注：主要包括但不限于车载供氢系统、燃料电池系统、高压系统及其相关附件等。
  GB/T 44510—2024
 
 
1",fact,6
一位质检工程师在验收一辆新能源汽车时，需要检查其‘专用装置’。根据该片段，他应该重点检查哪些与高压相关的系统？,他应该重点检查高压系统及其相关附件。因为‘专用装置’包括高压系统及其相关附件，而‘高压系统’又具体包括动力电池系统、高压配电系统、电机及其控制器系统、DC/DC变换器和车载充电机等。,"系统。
注：主要包括但不限于动力电池系统和/或高压配电系统（高压继电器、熔断器、电阻器、主开关等）、电机及其控
制器系统、DC/DC变换器和车载充电机等。
[来源：GB/T 19596—2017, 3.1.2.1.11，有修改]
3.3　
专用装置　special equipment
新能源汽车与燃油（气）汽车相比所特有的装置。
注：主要包括但不限于车载供氢系统、燃料电池系统、高压系统及其相关附件等。
  GB/T 44510—2024
 
 
1",multi-hop,6
该片段是否规定了在检查新能源汽车高压配电系统时，必须使用特定品牌或型号的绝缘测试仪？,在该片段中未提及相关规定。,"系统。
注：主要包括但不限于动力电池系统和/或高压配电系统（高压继电器、熔断器、电阻器、主开关等）、电机及其控
制器系统、DC/DC变换器和车载充电机等。
[来源：GB/T 19596—2017, 3.1.2.1.11，有修改]
3.3　
专用装置　special equipment
新能源汽车与燃油（气）汽车相比所特有的装置。
注：主要包括但不限于车载供氢系统、燃料电池系统、高压系统及其相关附件等。
  GB/T 44510—2024
 
 
1",negative,6
根据标准，新能源汽车的日常维护应由谁负责进行？,日常维护由驾驶人员进行。,"3.4　
日常维护　daily maintenance
以清洁、补给和安全性能检视为中心内容的维护作业。
[来源：GB/T 5624—2019, 6.1.5.1]
3.5　
周期维护　periodic maintenance
按照预先设定的里程间隔或时间间隔而实施的维护。
[来源：GB/T 5624—2019, 6.1.5.2，有修改]
4　一般要求
 
4.1　新能源汽车维修维护应包含车辆常规装置维修维护和专用装置维修维护。
4.2　新能源汽车维护应包含日常维护和周期维护。日常维护仅对可视部分进行检查，由驾驶人员进
行；周期维护应由专业人员进行。
4.3　常规装置维护应按照GB/T 18344的规定进行，常规装置维修应按照GB/T 3798的规定进行。
4.4　专用装置的维护周期应按照汽车生产企业公开的维修技术信息（以下简称“汽车维修技术信
息”）要求，结合车辆类别、车辆运行状况、行驶里程、道路条件和使用年限等确定。
4.5　专用装置的日常维护项目和不同维护周期下的维护项目应按照汽车维修技术信息和第6章确定。
4.6　进行周期维护时，应先使用诊断仪或专用检测设备对专用装置进行进厂检验，读取故障码并根据
驾驶员反馈的车辆技术状况确定专用装置的附加作业项目。
4.7　专用装置在维修过程中涉及的各系统部件的维修技术要求应符合第7章的规定，汽车生产企业有特
殊要求的，应符合汽车维修技术信息中的规定。
4.8　动力蓄电池应按照汽车维修技术信息中规定的周期和方法进行均衡。
5　安全要求
 
5.1　新能源汽车维修、周期维护作业应在专用场地进行，场地应干燥，通风良好，并设置警示隔离区
和警示牌，非维修维护作业人员不应进入。
5.2　使用气态氢的燃料电池电动汽车（以下简称“氢燃料汽车”）维修、周期维护作业场地顶部存在
气体易聚集处，应安装防爆排风装置及氢气浓度检测报警装置。",fact,7
一名维修主管需要安排一辆氢燃料汽车的周期维护。根据标准，他应如何确保作业场地符合安全要求？,作业应在专用场地进行，场地应干燥、通风良好，并设置警示隔离区和警示牌，非维修维护作业人员不应进入。此外，由于是氢燃料汽车，场地顶部存在气体易聚集处，应安装防爆排风装置及氢气浓度检测报警装置。,"3.4　
日常维护　daily maintenance
以清洁、补给和安全性能检视为中心内容的维护作业。
[来源：GB/T 5624—2019, 6.1.5.1]
3.5　
周期维护　periodic maintenance
按照预先设定的里程间隔或时间间隔而实施的维护。
[来源：GB/T 5624—2019, 6.1.5.2，有修改]
4　一般要求
 
4.1　新能源汽车维修维护应包含车辆常规装置维修维护和专用装置维修维护。
4.2　新能源汽车维护应包含日常维护和周期维护。日常维护仅对可视部分进行检查，由驾驶人员进
行；周期维护应由专业人员进行。
4.3　常规装置维护应按照GB/T 18344的规定进行，常规装置维修应按照GB/T 3798的规定进行。
4.4　专用装置的维护周期应按照汽车生产企业公开的维修技术信息（以下简称“汽车维修技术信
息”）要求，结合车辆类别、车辆运行状况、行驶里程、道路条件和使用年限等确定。
4.5　专用装置的日常维护项目和不同维护周期下的维护项目应按照汽车维修技术信息和第6章确定。
4.6　进行周期维护时，应先使用诊断仪或专用检测设备对专用装置进行进厂检验，读取故障码并根据
驾驶员反馈的车辆技术状况确定专用装置的附加作业项目。
4.7　专用装置在维修过程中涉及的各系统部件的维修技术要求应符合第7章的规定，汽车生产企业有特
殊要求的，应符合汽车维修技术信息中的规定。
4.8　动力蓄电池应按照汽车维修技术信息中规定的周期和方法进行均衡。
5　安全要求
 
5.1　新能源汽车维修、周期维护作业应在专用场地进行，场地应干燥，通风良好，并设置警示隔离区
和警示牌，非维修维护作业人员不应进入。
5.2　使用气态氢的燃料电池电动汽车（以下简称“氢燃料汽车”）维修、周期维护作业场地顶部存在
气体易聚集处，应安装防爆排风装置及氢气浓度检测报警装置。",multi-hop,7
该标准片段是否规定了在进行新能源汽车周期维护时，必须使用某个特定品牌或型号的诊断仪？,在该片段中未提及相关规定。,"3.4　
日常维护　daily maintenance
以清洁、补给和安全性能检视为中心内容的维护作业。
[来源：GB/T 5624—2019, 6.1.5.1]
3.5　
周期维护　periodic maintenance
按照预先设定的里程间隔或时间间隔而实施的维护。
[来源：GB/T 5624—2019, 6.1.5.2，有修改]
4　一般要求
 
4.1　新能源汽车维修维护应包含车辆常规装置维修维护和专用装置维修维护。
4.2　新能源汽车维护应包含日常维护和周期维护。日常维护仅对可视部分进行检查，由驾驶人员进
行；周期维护应由专业人员进行。
4.3　常规装置维护应按照GB/T 18344的规定进行，常规装置维修应按照GB/T 3798的规定进行。
4.4　专用装置的维护周期应按照汽车生产企业公开的维修技术信息（以下简称“汽车维修技术信
息”）要求，结合车辆类别、车辆运行状况、行驶里程、道路条件和使用年限等确定。
4.5　专用装置的日常维护项目和不同维护周期下的维护项目应按照汽车维修技术信息和第6章确定。
4.6　进行周期维护时，应先使用诊断仪或专用检测设备对专用装置进行进厂检验，读取故障码并根据
驾驶员反馈的车辆技术状况确定专用装置的附加作业项目。
4.7　专用装置在维修过程中涉及的各系统部件的维修技术要求应符合第7章的规定，汽车生产企业有特
殊要求的，应符合汽车维修技术信息中的规定。
4.8　动力蓄电池应按照汽车维修技术信息中规定的周期和方法进行均衡。
5　安全要求
 
5.1　新能源汽车维修、周期维护作业应在专用场地进行，场地应干燥，通风良好，并设置警示隔离区
和警示牌，非维修维护作业人员不应进入。
5.2　使用气态氢的燃料电池电动汽车（以下简称“氢燃料汽车”）维修、周期维护作业场地顶部存在
气体易聚集处，应安装防爆排风装置及氢气浓度检测报警装置。",negative,7
根据标准，在进行新能源汽车高压系统维修或周期维护作业前，确认动力蓄电池高压输出线路系统的正负极电压低于多少伏后，方可开始作业？,低于36 V。,"5.1　新能源汽车维修、周期维护作业应在专用场地进行，场地应干燥，通风良好，并设置警示隔离区
和警示牌，非维修维护作业人员不应进入。
5.2　使用气态氢的燃料电池电动汽车（以下简称“氢燃料汽车”）维修、周期维护作业场地顶部存在
气体易聚集处，应安装防爆排风装置及氢气浓度检测报警装置。
5.3　新能源汽车维修、周期维护作业区域应根据车型配备消防及电气高压防护应急设备，包括但不限
于防毒面罩、绝缘棒、消防钩及相适应的灭火设施设备等。
5.4　高压系统维修、周期维护作业人员应取得低压电工特种作业操作证。
5.5　专用装置维修、周期维护作业人员应经过专业培训，合格后上岗。
5.6　高压系统维修、周期维护作业，应由不少于2人协同操作，作业人员应遵守电工安全操作规范。
5.7　专用装置维修、周期维护作业人员在操作前应先进行静电释放，应穿戴安全防护装备，使用具有绝缘防
护功能的作业工具，不应佩戴金属饰品进行作业。安全防护装备应包括但不限于绝缘手套（耐压等级在
1 000 V以上）、绝缘鞋（靴）、眼护具、安全帽。安全防护装备和作业工具应无破损，绝缘有效。
5.8　高压系统维修、周期维护作业前，应按照关闭车辆电源总控制开关、断开辅助蓄电池正负极或关
闭辅助蓄电池开关手柄、关闭高压维修开关的顺序（或汽车维修技术信息中规定的顺序）对车辆进行断
电，确认动力蓄电池高压输出线路系统的正负极电压低于36 V，且绝缘电阻值符合汽车维修技术信息中
的规定后，方可进行维护作业。
5.9　高压零部件断开后应对高压裸露端子进行绝缘防护。
5.10　高压系统维修、周期维护作业完成后，应按照车辆断电的逆向顺序（或汽车维修技术信息中规定
 GB/T 44510—2024
 
 
2",fact,7
一名持有低压电工特种作业操作证的维修技师，计划在通风良好、设置了警示隔离区的专用场地，对一辆新能源汽车的高压系统进行维修。他准备独自一人按照标准流程进行断电操作。根据该片段，他的作业安排是否符合标准要求？请说明理由。,不符合。因为标准要求高压系统维修、周期维护作业应由不少于2人协同操作，且作业人员应遵守电工安全操作规范。该技师计划独自操作，不满足人员数量要求。,"5.1　新能源汽车维修、周期维护作业应在专用场地进行，场地应干燥，通风良好，并设置警示隔离区
和警示牌，非维修维护作业人员不应进入。
5.2　使用气态氢的燃料电池电动汽车（以下简称“氢燃料汽车”）维修、周期维护作业场地顶部存在
气体易聚集处，应安装防爆排风装置及氢气浓度检测报警装置。
5.3　新能源汽车维修、周期维护作业区域应根据车型配备消防及电气高压防护应急设备，包括但不限
于防毒面罩、绝缘棒、消防钩及相适应的灭火设施设备等。
5.4　高压系统维修、周期维护作业人员应取得低压电工特种作业操作证。
5.5　专用装置维修、周期维护作业人员应经过专业培训，合格后上岗。
5.6　高压系统维修、周期维护作业，应由不少于2人协同操作，作业人员应遵守电工安全操作规范。
5.7　专用装置维修、周期维护作业人员在操作前应先进行静电释放，应穿戴安全防护装备，使用具有绝缘防
护功能的作业工具，不应佩戴金属饰品进行作业。安全防护装备应包括但不限于绝缘手套（耐压等级在
1 000 V以上）、绝缘鞋（靴）、眼护具、安全帽。安全防护装备和作业工具应无破损，绝缘有效。
5.8　高压系统维修、周期维护作业前，应按照关闭车辆电源总控制开关、断开辅助蓄电池正负极或关
闭辅助蓄电池开关手柄、关闭高压维修开关的顺序（或汽车维修技术信息中规定的顺序）对车辆进行断
电，确认动力蓄电池高压输出线路系统的正负极电压低于36 V，且绝缘电阻值符合汽车维修技术信息中
的规定后，方可进行维护作业。
5.9　高压零部件断开后应对高压裸露端子进行绝缘防护。
5.10　高压系统维修、周期维护作业完成后，应按照车辆断电的逆向顺序（或汽车维修技术信息中规定
 GB/T 44510—2024
 
 
2",multi-hop,7
该片段是否规定了新能源汽车高压系统维修作业人员所佩戴的绝缘手套，其耐压等级必须为1000V DC（直流）还是1000V AC（交流）？,在该片段中未提及相关规定。,"5.1　新能源汽车维修、周期维护作业应在专用场地进行，场地应干燥，通风良好，并设置警示隔离区
和警示牌，非维修维护作业人员不应进入。
5.2　使用气态氢的燃料电池电动汽车（以下简称“氢燃料汽车”）维修、周期维护作业场地顶部存在
气体易聚集处，应安装防爆排风装置及氢气浓度检测报警装置。
5.3　新能源汽车维修、周期维护作业区域应根据车型配备消防及电气高压防护应急设备，包括但不限
于防毒面罩、绝缘棒、消防钩及相适应的灭火设施设备等。
5.4　高压系统维修、周期维护作业人员应取得低压电工特种作业操作证。
5.5　专用装置维修、周期维护作业人员应经过专业培训，合格后上岗。
5.6　高压系统维修、周期维护作业，应由不少于2人协同操作，作业人员应遵守电工安全操作规范。
5.7　专用装置维修、周期维护作业人员在操作前应先进行静电释放，应穿戴安全防护装备，使用具有绝缘防
护功能的作业工具，不应佩戴金属饰品进行作业。安全防护装备应包括但不限于绝缘手套（耐压等级在
1 000 V以上）、绝缘鞋（靴）、眼护具、安全帽。安全防护装备和作业工具应无破损，绝缘有效。
5.8　高压系统维修、周期维护作业前，应按照关闭车辆电源总控制开关、断开辅助蓄电池正负极或关
闭辅助蓄电池开关手柄、关闭高压维修开关的顺序（或汽车维修技术信息中规定的顺序）对车辆进行断
电，确认动力蓄电池高压输出线路系统的正负极电压低于36 V，且绝缘电阻值符合汽车维修技术信息中
的规定后，方可进行维护作业。
5.9　高压零部件断开后应对高压裸露端子进行绝缘防护。
5.10　高压系统维修、周期维护作业完成后，应按照车辆断电的逆向顺序（或汽车维修技术信息中规定
 GB/T 44510—2024
 
 
2",negative,7
根据标准，在对氢燃料汽车进行动火作业时，必须确保动火区域内氢气的体积分数在什么范围内？,确保管路或动火区域内氢气体积分数在安全范围内。,"的顺序）对车辆进行通电复位。
5.11　氢燃料汽车的维修、周期维护作业还应满足以下要求：
在燃料电池系统完全停机后进行；a）
对氢燃料汽车的涉氢管路进行紧固、拆装或调整时，先进行整车断电，关闭气瓶手动截止阀，
并使用防爆工具对供氢管路进行燃料放空；
b）
动火作业时，进行氢气浓度检测，确保管路或动火区域内氢气体积分数在安全范围内；c）
在气瓶附近进行动火作业时，先拆下气瓶，对相关涉氢管路进行氮气吹扫，采用密封用品做好
防护，放入专用区域保管，或关闭气瓶手动截止阀，用挡板、石棉布等对气瓶、涉氢管路、阀
门及传感器等部件进行有效隔离后方可进行作业。
d）
5.12　汽车维修技术信息中有其他操作安全和故障防护特殊要求的，还应遵循其相关要求。
6　维护作业项目及要求 
6.1　纯电动汽车
 
6.1.1　日常维护作业项目及要求应按照表1进行。
6.1.2　周期维护作业项目及要求除应按照表1和表2进行外，还应完成4.6确定的附加作业项目。
表1　纯电动汽车日常维护作业项目及要求
 
序号 作业项目 作业内容及要求 
1 仪表、信号指示装置
1）检查仪表外观及指示功能，仪表应完好有效，指示功能应正常；
2）检查信号指示装置，信号指示应无异常声光报警和故障提醒；
3）检查电池荷电状态（SOC）示值或参考行驶里程示值情况，应视情进行充电
2 驱动电机系统
1）检查运行工作状况，运行应平稳，且无异常振动和噪声；
2）检查系统外观及连接管路，表面应清洁，冷却管路应无渗漏现象
3 动力蓄电池冷却系统
1）检查运行工作状况，运行过程中应无异响和渗漏现象；
2）检查冷却液液面高度，视情补给，液面高度应在液位标识的上下限之间
4 充电插座
1）检查充电插座外观，应无烧蚀、破损、异物，内部应清洁和干燥；
2）检查防护盖，防护盖应锁闭完好
5 电器舱、电池舱",fact,8
